tweet_id,favorites,retweet_count
892420643555336193,33722,6978
892177421306343426,29250,5279
891815181378084864,21985,3465
891689557279858688,36817,7198
891327558926688256,35202,7722
891087950875897856,17755,2589
890971913173991426,10335,1648
890729181411237888,56694,15694
890609185150312448,24449,3605
890240255349198849,27869,6080
890006608113172480,26968,6119
889880896479866881,24505,4144
889665388333682689,41903,8311
889638837579907072,23599,3702
889531135344209921,13320,1874
889278841981685760,22050,4426
888917238123831296,25548,3746
888804989199671297,22406,3517
888554962724278272,17266,2867
888078434458587136,19110,2886
887705289381826560,26549,4522
887517139158093824,40606,9820
887473957103951883,60020,14971
887343217045368832,29513,8788
887101392804085760,26912,4974
886983233522544640,30274,6294
886736880519319552,10464,2618
886680336477933568,19674,3723
886366144734445568,18500,2614
886267009285017600,105,4
886258384151887873,24457,5262
886054160059072513,0,93
885984800019947520,28519,5592
885528943205470208,31518,5310
885518971528720385,17959,3100
885311592912609280,0,15381
885167619883638784,19203,3654
884925521741709313,67076,14958
884876753390489601,24319,4646
884562892145688576,21261,3897
884441805382717440,23803,4778
884247878851493888,63068,16847
884162670584377345,17905,2492
883838122936631299,19105,2849
883482846933004288,40081,8230
883360690899218434,19896,3061
883117836046086144,32414,5513
882992080364220416,20930,3230
882762694511734784,24719,4080
882627270321602560,24545,5045
882268110199369728,39075,9589
882045870035918850,25649,4069
881906580714921986,21391,2842
881666595344535552,44428,8921
881633300179243008,113,8
881536004380872706,43326,13357
881268444196462592,20440,4485
880935762899988482,15011,2329
880872448815771648,18670,3192
880465832366813184,24954,5198
880221127280381952,23591,3452
880095782870896641,24253,3637
879862464715927552,19658,2915
879674319642796034,282,9
879492040517615616,20660,2621
879415818425184262,92586,37302
879376492567855104,14815,2635
879130579576475649,0,5714
879050749262655488,19763,3939
879008229531029506,16742,2233
878776093423087618,17094,3422
878604707211726852,26374,5904
878404777348136964,0,1072
878316110768087041,0,5504
878281511006478336,6763,1072
878057613040115712,37042,5714
877736472329191424,69091,15741
877611172832227328,0,70
877556246731214848,19846,3156
877316821321428993,24078,4327
877201837425926144,23806,4609
876838120628539392,18175,2795
876537666061221889,21003,3963
876484053909872640,16520,1992
876120275196170240,24628,3890
875747767867523072,22047,3570
875144289856114688,19378,4135
875097192612077568,24188,5098
875021211251597312,22496,3955
874680097055178752,24544,3907
874434818259525634,0,12168
874296783580663808,22903,3471
874057562936811520,20060,3369
874012996292530176,30046,8559
873580283840344065,21333,3333
873337748698140672,0,1327
873213775632977920,6305,1327
872967104147763200,24005,4545
872820683541237760,13045,3158
872620804844003328,18287,3057
872486979161796608,36022,7692
872122724285648897,30139,6809
871879754684805121,32992,9214
871762521631449091,17836,2959
871515927908634625,17858,2928
871166179821445120,0,4880
871102520638267392,18498,4660
871032628920680449,20109,3215
870804317367881728,29724,5268
870726314365509632,105,3
870656317836468226,10865,2191
870374049280663552,73782,22677
870308999962521604,19437,3538
870063196459192321,32334,7052
869772420881756160,37920,8663
869702957897576449,24984,5368
869596645499047938,14152,2630
869227993411051520,18093,3191
868880397819494401,57797,12209
