,tweet_id,favorites,retweet_count
0,892420643555336193,33722,6978
1,892177421306343426,29250,5279
2,891815181378084864,21985,3465
3,891689557279858688,36817,7198
4,891327558926688256,35202,7722
5,891087950875897856,17755,2589
6,890971913173991426,10335,1648
7,890729181411237888,56694,15694
8,890609185150312448,24449,3605
9,890240255349198849,27869,6080
10,890006608113172480,26968,6119
11,889880896479866881,24505,4144
12,889665388333682689,41903,8311
13,889638837579907072,23599,3702
14,889531135344209921,13320,1874
15,889278841981685760,22050,4426
16,888917238123831296,25548,3746
17,888804989199671297,22406,3517
18,888554962724278272,17266,2867
19,888078434458587136,19110,2886
20,887705289381826560,26549,4522
21,887517139158093824,40606,9820
22,887473957103951883,60020,14971
23,887343217045368832,29513,8788
24,887101392804085760,26912,4974
25,886983233522544640,30274,6294
26,886736880519319552,10464,2618
27,886680336477933568,19674,3723
28,886366144734445568,18500,2614
29,886267009285017600,105,4
30,886258384151887873,24457,5262
31,886054160059072513,0,93
32,885984800019947520,28519,5592
33,885528943205470208,31518,5310
34,885518971528720385,17959,3100
35,885311592912609280,0,15381
36,885167619883638784,19203,3654
37,884925521741709313,67076,14958
38,884876753390489601,24319,4646
39,884562892145688576,21261,3897
40,884441805382717440,23803,4778
41,884247878851493888,63068,16847
42,884162670584377345,17905,2492
43,883838122936631299,19105,2849
44,883482846933004288,40081,8230
45,883360690899218434,19896,3061
46,883117836046086144,32414,5513
47,882992080364220416,20930,3230
48,882762694511734784,24719,4080
49,882627270321602560,24545,5045
50,882268110199369728,39075,9589
51,882045870035918850,25649,4069
52,881906580714921986,21391,2842
53,881666595344535552,44428,8921
54,881633300179243008,113,8
55,881536004380872706,43326,13357
56,881268444196462592,20440,4485
57,880935762899988482,15011,2329
58,880872448815771648,18670,3192
59,880465832366813184,24954,5198
60,880221127280381952,23591,3452
61,880095782870896641,24253,3637
62,879862464715927552,19658,2915
63,879674319642796034,282,9
64,879492040517615616,20660,2621
65,879415818425184262,92586,37302
66,879376492567855104,14815,2635
67,879130579576475649,0,5714
68,879050749262655488,19763,3939
69,879008229531029506,16742,2233
70,878776093423087618,17094,3422
71,878604707211726852,26374,5904
72,878404777348136964,0,1072
73,878316110768087041,0,5504
74,878281511006478336,6763,1072
75,878057613040115712,37042,5714
76,877736472329191424,69091,15741
77,877611172832227328,0,70
78,877556246731214848,19846,3156
79,877316821321428993,24078,4327
80,877201837425926144,23806,4609
81,876838120628539392,18175,2795
82,876537666061221889,21003,3963
83,876484053909872640,16520,1992
84,876120275196170240,24628,3890
85,875747767867523072,22047,3570
86,875144289856114688,19378,4135
87,875097192612077568,24188,5098
88,875021211251597312,22496,3955
89,874680097055178752,24544,3907
90,874434818259525634,0,12168
91,874296783580663808,22903,3471
92,874057562936811520,20060,3369
93,874012996292530176,30046,8559
94,873580283840344065,21333,3333
95,873337748698140672,0,1327
96,873213775632977920,6305,1327
97,872967104147763200,24005,4545
98,872820683541237760,13045,3158
99,872620804844003328,18287,3057
100,872486979161796608,36022,7692
101,872122724285648897,30139,6809
102,871879754684805121,32992,9214
103,871762521631449091,17836,2959
104,871515927908634625,17858,2928
105,871166179821445120,0,4880
106,871102520638267392,18498,4660
107,871032628920680449,20109,3215
108,870804317367881728,29724,5268
109,870726314365509632,105,3
110,870656317836468226,10865,2191
111,870374049280663552,73782,22677
112,870308999962521604,19437,3538
113,870063196459192321,32334,7052
114,869772420881756160,37920,8663
115,869702957897576449,24984,5368
116,869596645499047938,14152,2630
117,869227993411051520,18093,3191
118,868880397819494401,57797,12209
119,868639477480148993,0,1744
120,868622495443632128,23592,4448
121,868552278524837888,8943,1744
122,867900495410671616,21547,3555
123,867774946302451713,30160,6230
124,867421006826221569,14309,2109
125,867072653475098625,0,100
126,867051520902168576,28635,6756
127,866720684873056260,17820,4121
128,866686824827068416,17082,2955
129,866450705531457537,108574,30086
130,866334964761202691,46464,12168
131,866094527597207552,0,7140
132,865718153858494464,22855,4820
133,865359393868664832,23543,4272
134,865006731092295680,24985,6640
135,864873206498414592,28780,7479
136,864279568663928832,13042,2573
137,864197398364647424,26579,7560
138,863907417377173506,18395,3580
139,863553081350529029,13643,3617
140,863471782782697472,0,2087
141,863432100342583297,21246,4544
142,863427515083354112,1956,80
143,863079547188785154,7880,950
144,863062471531167744,7507,2087
145,862831371563274240,17189,4448
146,862722525377298433,15305,3079
147,862457590147678208,18227,4232
148,862096992088072192,66108,19924
149,861383897657036800,32208,9238
150,861288531465048066,15316,3578
151,861005113778896900,14959,3321
152,860981674716409858,0,1850
153,860924035999428608,0,676
154,860563773140209665,6708,1850
155,860524505164394496,21206,4589
156,860276583193509888,16542,3057
157,860184849394610176,14975,5109
158,860177593139703809,0,26640
159,859924526012018688,17595,3573
160,859851578198683649,13953,3061
161,859607811541651456,16803,1361
162,859196978902773760,80349,26189
163,859074603037188101,30355,11929
164,858860390427611136,0,7058
165,858843525470990336,14096,3019
